"Id","Name","Description","isActive","isApplicantActive","CreatedDate","UpdatedDate"
1,"2011/2012","",0,0,"2024-04-20 00:00:00","2024-04-20 00:00:00"
2,"2012/2013","",0,0,"2024-04-20 00:00:00","2024-04-20 00:00:00"
3,"2013/2014","",0,0,"2024-04-20 00:00:00","2024-04-20 00:00:00"
4,"2014/2015","",0,0,"2024-04-20 00:00:00","2024-04-20 00:00:00"
5,"2015/2016","",0,0,"2024-04-20 00:00:00","2024-04-20 00:00:00"
6,"2016/2017","",0,0,"2024-04-20 00:00:00","2024-04-20 00:00:00"
7,"2017/2018","",0,0,"2024-04-20 00:00:00","2024-04-20 00:00:00"
8,"2018/2019","",0,0,"2024-04-20 00:00:00","2024-04-20 00:00:00"
9,"2019/2020","",0,0,"2024-04-20 00:00:00","2024-04-20 00:00:00"
10,"2020/2021","",0,0,"2024-04-20 00:00:00","2024-04-20 00:00:00"
11,"2021/2022","",0,0,"2024-04-20 00:00:00","2024-04-20 00:00:00"
12,"2022/2023","",0,0,"2024-04-20 00:00:00","2024-04-20 00:00:00"
13,"2023/2024","",0,0,"2024-04-20 00:00:00","2024-04-20 00:00:00"
14,"2024/2025","",1,1,"2024-04-20 00:00:00","2024-04-20 00:00:00"
